#q	Cp1sin	Cp1sn
-0.03198	121,485	132,236
-0.0311791	121,689	132,422
-0.0303782	121,894	132,610
-0.0295773	122,099	132,798
-0.0287764	122,306	132,987
-0.0279755	122,513	133,177
-0.0271746	122,722	133,368
-0.0263737	122,931	133,560
-0.0255729	123,141	133,753
-0.024772	123,352	133,947
-0.0239711	123,564	134,141
-0.0231702	123,777	134,337
-0.0223693	123,991	134,533
-0.0215684	124,206	134,731
-0.0207675	124,421	134,929
-0.0199666	124,638	135,128
-0.0191657	124,855	135,328
-0.0183648	125,074	135,529
-0.017564	125,293	135,731
-0.0167631	125,514	135,934
-0.0159622	125,735	136,138
-0.0151613	125,957	136,343
-0.0143604	126,181	136,549
-0.0135595	126,405	136,756
-0.0127586	126,630	136,963
-0.0119577	126,856	137,172
-0.0111568	127,084	137,382
-0.010356	127,312	137,592
-0.00955506	127,541	137,804
-0.00875417	127,771	138,017
-0.00795328	128,002	138,230
-0.00715239	128,235	138,445
-0.0063515	128,468	138,660
-0.00555061	128,702	138,877
-0.00474972	128,937	139,094
-0.00394883	129,174	139,313
-0.00314794	129,411	139,533
-0.00234705	129,649	139,753
-0.00154616	129,889	139,975
-0.000745273	130,129	140,197
5.56174e-05	130,370	140,421
0.000856507	130,613	140,645
0.0016574	130,856	140,871
0.00245829	131,101	141,098
0.00325918	131,347	141,325
0.00406007	131,593	141,554
0.00486096	131,841	141,784
0.00566185	132,090	142,014
0.00646274	132,340	142,246
0.00726363	132,591	142,479
0.00806452	132,843	142,713
0.00886541	133,096	142,948
0.0096663	133,351	143,184
0.0104672	133,606	143,421
0.0112681	133,862	143,659
0.012069	134,120	143,898
0.0128699	134,379	144,138
0.0136707	134,638	144,380
0.0144716	134,899	144,622
0.0152725	135,161	144,866
0.0160734	135,424	145,110
0.0168743	135,689	145,356
0.0176752	135,954	145,602
0.0184761	136,220	145,850
0.019277	136,488	146,099
0.0200779	136,757	146,349
0.0208788	137,027	146,600
0.0216796	137,298	146,853
0.0224805	137,570	147,106
0.0232814	137,844	147,360
0.0240823	138,118	147,616
0.0248832	138,394	147,873
0.0256841	138,671	148,131
0.026485	138,949	148,390
0.0272859	139,228	148,650
0.0280868	139,509	148,911
0.0288877	139,790	149,174
0.0296885	140,073	149,437
0.0304894	140,357	149,702
0.0312903	140,642	149,968
0.0320912	140,929	150,235
0.0328921	141,217	150,503
0.033693	141,505	150,773
0.0344939	141,796	151,043
0.0352948	142,087	151,315
0.0360957	142,380	151,588
0.0368966	142,673	151,863
0.0376974	142,968	152,138
0.0384983	143,265	152,415
0.0392992	143,562	152,693
0.0401001	143,861	152,972
0.040901	144,162	153,252
0.0417019	144,463	153,534
0.0425028	144,766	153,817
0.0433037	145,070	154,101
0.0441046	145,375	154,386
0.0449055	145,682	154,673
0.0457063	145,990	154,961
0.0465072	146,299	155,250
0.0473081	146,610	155,541
0.048109	146,922	155,833
0.0489099	147,235	156,126
0.0497108	147,550	156,421
0.0505117	147,866	156,717
0.0513126	148,184	157,014
0.0521135	148,502	157,313
0.0529143	148,823	157,613
0.0537152	149,144	157,914
0.0545161	149,467	158,217
0.055317	149,792	158,521
0.0561179	150,118	158,827
0.0569188	150,445	159,134
0.0577197	150,774	159,442
0.0585206	151,105	159,752
0.0593215	151,436	160,063
0.0601224	151,770	160,376
0.0609232	152,105	160,691
0.0617241	152,441	161,007
0.062525	152,779	161,324
0.0633259	153,118	161,643
0.0641268	153,459	161,963
0.0649277	153,802	162,285
0.0657286	154,146	162,609
0.0665295	154,492	162,934
0.0673304	154,839	163,261
0.0681313	155,188	163,589
0.0689321	155,539	163,919
0.069733	155,891	164,251
0.0705339	156,245	164,584
0.0713348	156,601	164,919
0.0721357	156,959	165,256
0.0729366	157,318	165,594
0.0737375	157,679	165,935
0.0745384	158,042	166,277
0.0753393	158,406	166,620
0.0761402	158,772	166,966
0.076941	159,141	167,314
0.0777419	159,511	167,663
0.0785428	159,882	168,014
0.0793437	160,256	168,367
0.0801446	160,632	168,722
0.0809455	161,010	169,079
0.0817464	161,389	169,438
0.0825473	161,771	169,799
0.0833482	162,154	170,162
0.0841491	162,540	170,527
0.0849499	162,928	170,894
0.0857508	163,318	171,263
0.0865517	163,710	171,634
0.0873526	164,104	172,007
0.0881535	164,500	172,383
0.0889544	164,898	172,761
0.0897553	165,299	173,141
0.0905562	165,702	173,523
0.0913571	166,107	173,908
0.092158	166,515	174,295
0.0929588	166,925	174,684
0.0937597	167,337	175,076
0.0945606	167,752	175,470
0.0953615	168,169	175,867
0.0961624	168,589	176,266
0.0969633	169,011	176,667
0.0977642	169,436	177,072
0.0985651	169,863	177,479
0.099366	170,293	177,888
0.100167	170,726	178,301
0.100968	171,161	178,716
0.101769	171,599	179,133
0.10257	172,040	179,554
0.10337	172,484	179,978
0.104171	172,931	180,404
0.104972	173,380	180,833
0.105773	173,833	181,266
0.106574	174,289	181,701
0.107375	174,747	182,140
0.108176	175,209	182,581
0.108977	175,674	183,026
0.109778	176,143	183,475
0.110578	176,614	183,926
0.111379	177,089	184,381
0.11218	177,567	184,839
0.112981	178,049	185,301
0.113782	178,534	185,766
0.114583	179,022	186,234
0.115384	179,515	186,707
0.116185	180,011	187,183
0.116986	180,510	187,663
0.117786	181,014	188,146
0.118587	181,521	188,634
0.119388	182,032	189,125
0.120189	182,547	189,621
0.12099	183,066	190,120
0.121791	183,590	190,624
0.122592	184,117	191,132
0.123393	184,649	191,644
0.124194	185,185	192,160
0.124994	185,725	192,681
0.125795	186,270	193,206
0.126596	186,820	193,736
0.127397	187,374	194,271
0.128198	187,932	194,810
0.128999	188,496	195,354
0.1298	189,064	195,903
0.130601	189,637	196,456
0.131402	190,216	197,015
0.132202	190,799	197,579
0.133003	191,388	198,148
0.133804	191,981	198,723
0.134605	192,581	199,302
0.135406	193,185	199,888
0.136207	193,796	200,479
0.137008	194,411	201,075
0.137809	195,033	201,677
0.13861	195,661	202,285
0.13941	196,294	202,899
0.140211	196,933	203,519
0.141012	197,579	204,145
0.141813	198,231	204,778
0.142614	198,889	205,416
0.143415	199,554	206,062
0.144216	200,225	206,713
0.145017	200,903	207,372
0.145818	201,588	208,037
0.146618	202,279	208,709
0.147419	202,978	209,388
0.14822	203,684	210,074
0.149021	204,397	210,767
0.149822	205,118	211,468
0.150623	205,846	212,176
0.151424	206,582	212,892
0.152225	207,325	213,615
0.153026	208,077	214,347
0.153826	208,836	215,086
0.154627	209,604	215,833
0.155428	210,380	216,589
0.156229	211,164	217,353
0.15703	211,958	218,125
0.157831	212,759	218,907
0.158632	213,570	219,697
0.159433	214,390	220,496
0.160234	215,219	221,304
0.161034	216,058	222,121
0.161835	216,906	222,947
0.162636	217,763	223,784
0.163437	218,631	224,629
0.164238	219,508	225,485
0.165039	220,396	226,351
0.16584	221,294	227,227
0.166641	222,202	228,113
0.167442	223,122	229,010
0.168242	224,052	229,917
0.169043	224,993	230,835
