q,CpT_sin,CpT_sn
0.000325918,0.651941,0.698767
0.00124694,0.653284,0.700012
0.00216796,0.654633,0.701263
0.00308899,0.655987,0.70252
0.00401001,0.657346,0.703781
0.00493103,0.658711,0.705049
0.00585206,0.660081,0.706321
0.00677308,0.661456,0.707599
0.0076941,0.662836,0.708882
0.00861513,0.664221,0.71017
0.00953615,0.665612,0.711464
0.0104572,0.667007,0.712762
0.0113782,0.668408,0.714065
0.0122992,0.669813,0.715374
0.0132202,0.671224,0.716687
0.0141413,0.672639,0.718005
0.0150623,0.674058,0.719327
0.0159833,0.675483,0.720655
0.0169043,0.676912,0.721987
0.0178254,0.678346,0.723324
0.0187464,0.679784,0.724666
0.0196674,0.681227,0.726012
0.0205884,0.682674,0.727362
0.0215095,0.684126,0.728717
0.0224305,0.685583,0.730077
0.0233515,0.687043,0.731441
0.0242725,0.688508,0.732809
0.0251935,0.689978,0.734182
0.0261146,0.691451,0.735559
0.0270356,0.692929,0.73694
0.0279566,0.694411,0.738325
0.0288776,0.695897,0.739715
0.0297987,0.697388,0.741109
0.0307197,0.698883,0.742507
0.0316407,0.700382,0.74391
0.0325617,0.701885,0.745316
0.0334828,0.703392,0.746727
0.0344038,0.704903,0.748142
0.0353248,0.706418,0.749561
0.0362458,0.707938,0.750985
0.0371669,0.709462,0.752412
0.0380879,0.71099,0.753844
0.0390089,0.712522,0.75528
0.0399299,0.714058,0.75672
0.0408509,0.715598,0.758164
0.041772,0.717143,0.759613
0.042693,0.718692,0.761066
0.043614,0.720245,0.762523
0.044535,0.721803,0.763985
0.0454561,0.723365,0.765451
0.0463771,0.724931,0.766921
0.0472981,0.726502,0.768396
0.0482191,0.728077,0.769876
0.0491402,0.729657,0.77136
0.0500612,0.731241,0.772849
0.0509822,0.732831,0.774343
0.0519032,0.734425,0.775841
0.0528242,0.736024,0.777345
0.0537453,0.737628,0.778853
0.0546663,0.739237,0.780367
0.0555873,0.740851,0.781886
0.0565083,0.742471,0.783411
0.0574294,0.744096,0.78494
0.0583504,0.745726,0.786476
0.0592714,0.747363,0.788017
0.0601924,0.749005,0.789564
0.0611135,0.750653,0.791117
0.0620345,0.752307,0.792676
0.0629555,0.753967,0.794242
0.0638765,0.755634,0.795814
0.0647976,0.757308,0.797393
0.0657186,0.758988,0.798978
0.0666396,0.760675,0.800571
0.0675606,0.76237,0.802171
0.0684816,0.764072,0.803779
0.0694027,0.765781,0.805394
0.0703237,0.767499,0.807017
0.0712447,0.769224,0.808648
0.0721657,0.770958,0.810288
0.0730868,0.7727,0.811936
0.0740078,0.774452,0.813594
0.0749288,0.776212,0.81526
0.0758498,0.777982,0.816936
0.0767709,0.779762,0.818622
0.0776919,0.781552,0.820319
0.0786129,0.783352,0.822025
0.0795339,0.785163,0.823743
0.0804549,0.786985,0.825471
0.081376,0.788819,0.827211
0.082297,0.790664,0.828963
0.083218,0.792521,0.830727
0.084139,0.794391,0.832504
0.0850601,0.796274,0.834294
0.0859811,0.79817,0.836098
0.0869021,0.800081,0.837915
0.0878231,0.802005,0.839747
0.0887442,0.803944,0.841593
0.0896652,0.805898,0.843455
0.0905862,0.807869,0.845332
0.0915072,0.809855,0.847226
0.0924283,0.811858,0.849137
0.0933493,0.813878,0.851065
0.0942703,0.815916,0.853011
0.0951913,0.817972,0.854975
0.0961123,0.820048,0.856958
0.0970334,0.822142,0.858961
0.0979544,0.824257,0.860984
0.0988754,0.826393,0.863028
0.0997964,0.82855,0.865094
0.100717,0.830729,0.867181
0.101638,0.832931,0.869292
0.10256,0.835156,0.871425
0.103481,0.837406,0.873584
0.104402,0.83968,0.875767
0.105323,0.84198,0.877975
0.106244,0.844306,0.880211
0.107165,0.84666,0.882473
0.108086,0.849041,0.884764
0.109007,0.851452,0.887083
0.109928,0.853892,0.889432
0.110849,0.856362,0.891812
0.11177,0.858864,0.894223
0.112691,0.861398,0.896667
0.113612,0.863965,0.899144
0.114533,0.866567,0.901655
0.115454,0.869204,0.904201
0.116375,0.871877,0.906784
0.117296,0.874587,0.909404
0.118217,0.877335,0.912062
0.119138,0.880122,0.914759
0.120059,0.88295,0.917497
0.12098,0.885819,0.920276
0.121901,0.888731,0.923098
0.122822,0.891687,0.925964
0.123743,0.894687,0.928874
0.124664,0.897734,0.931831
0.125585,0.900828,0.934835
0.126506,0.90397,0.937888
0.127427,0.907163,0.94099
0.128348,0.910406,0.944144
0.129269,0.913703,0.94735
0.13019,0.917053,0.950611
0.131111,0.920458,0.953926
0.132032,0.92392,0.957298
0.132953,0.92744,0.960729
0.133874,0.93102,0.964218
0.134795,0.934661,0.967769
0.135716,0.938365,0.971383
0.136637,0.942132,0.975061
0.137558,0.945966,0.978804
0.138479,0.949867,0.982615
0.1394,0.953837,0.986495
0.140321,0.957878,0.990446
0.141242,0.961991,0.994469
0.142164,0.966179,0.998566
0.143085,0.970442,1.00274
0.144006,0.974784,1.00699
0.144927,0.979205,1.01132
0.145848,0.983707,1.01573
0.146769,0.988293,1.02023
0.14769,0.992965,1.02481
0.148611,0.997724,1.02948
0.149532,1.00257,1.03423
0.150453,1.00751,1.03908
0.151374,1.01254,1.04402
0.152295,1.01767,1.04906
0.153216,1.0229,1.05419
0.154137,1.02823,1.05943
0.155058,1.03366,1.06476
0.155979,1.03919,1.07021
0.1569,1.04483,1.07575
0.157821,1.05058,1.08141
0.158742,1.05644,1.08718
0.159663,1.06242,1.09306
0.160584,1.06851,1.09906
0.161505,1.07472,1.10517
0.162426,1.08105,1.11141
0.163347,1.08751,1.11777
0.164268,1.09409,1.12426
0.165189,1.10081,1.13088
0.16611,1.10765,1.13763
0.167031,1.11463,1.14451
0.167952,1.12175,1.15153
0.168873,1.12901,1.15869
0.169794,1.13641,1.166
0.170715,1.14396,1.17345
0.171636,1.15166,1.18105
0.172557,1.15951,1.1888
0.173478,1.16752,1.1967
0.174399,1.17568,1.20477
0.17532,1.18401,1.21299
0.176241,1.19251,1.22139
0.177162,1.20117,1.22994
0.178083,1.21,1.23867
0.179004,1.21901,1.24758
0.179925,1.2282,1.25666
0.180846,1.23757,1.26593
0.181768,1.24712,1.27537
0.182689,1.25687,1.28501
0.18361,1.26681,1.29484
0.184531,1.27694,1.30487
0.185452,1.28728,1.31509
0.186373,1.29781,1.32552
0.187294,1.30856,1.33616
0.188215,1.31952,1.347
0.189136,1.3307,1.35807
0.190057,1.34209,1.36935
0.190978,1.35371,1.38085
0.191899,1.36556,1.39258
0.19282,1.37764,1.40454
0.193741,1.38996,1.41674
0.194662,1.40251,1.42918
0.195583,1.41532,1.44186
0.196504,1.42837,1.45479
0.197425,1.44168,1.46798
0.198346,1.45524,1.48142
0.199267,1.46907,1.49512
0.200188,1.48317,1.50909
0.201109,1.49754,1.52333
0.20203,1.51219,1.53785
0.202951,1.52713,1.55265
0.203872,1.54235,1.56774
0.204793,1.55786,1.58312
0.205714,1.57367,1.59879
0.206635,1.58978,1.61476
0.207556,1.6062,1.63104
0.208477,1.62294,1.64764
0.209398,1.63999,1.66455
0.210319,1.65737,1.68178
0.21124,1.67508,1.69934
0.212161,1.69312,1.71723
0.213082,1.71151,1.73547
0.214003,1.73024,1.75405
0.214924,1.74932,1.77297
0.215845,1.76876,1.79226
0.216766,1.78857,1.8119
0.217687,1.80875,1.83192
0.218608,1.8293,1.85231
0.219529,1.85024,1.87308
0.220451,1.87156,1.89423
0.221372,1.89328,1.91578
0.222293,1.9154,1.93773
0.223214,1.93793,1.96008
0.224135,1.96088,1.98285
0.225056,1.98424,2.00603
0.225977,2.00804,2.02964
0.226898,2.03227,2.05368
0.227819,2.05694,2.07816
0.22874,2.08205,2.10309
0.229661,2.10763,2.12847
0.230582,2.13367,2.1543
0.231503,2.16018,2.18061
0.232424,2.18716,2.20739
0.233345,2.21463,2.23465
0.234266,2.24259,2.2624
0.235187,2.27106,2.29065
0.236108,2.30003,2.3194
0.237029,2.32951,2.34866
0.23795,2.35952,2.37844
0.238871,2.39006,2.40876
0.239792,2.42114,2.4396
0.240713,2.45277,2.47099
0.241634,2.48495,2.50293
0.242555,2.51769,2.53543
0.243476,2.55101,2.5685
0.244397,2.58491,2.60215
0.245318,2.6194,2.63638
0.246239,2.65449,2.6712
0.24716,2.69018,2.70663
0.248081,2.72649,2.74267
0.249002,2.76342,2.77933
0.249923,2.80099,2.81662
0.250844,2.8392,2.85454
